# q S(q)
2.041920047688914330e+00 2.772798796653596076e-01
2.094956932044470310e+00 2.779413063544648455e-01
2.147993816400026290e+00 2.694194188674390311e-01
2.201030700755582714e+00 2.730657285689683800e-01
2.254067585111139138e+00 2.781167403056641341e-01
2.307104469466695118e+00 3.034770442482139785e-01
2.360141353822251098e+00 3.490912366699840952e-01
2.413178238177807522e+00 3.046364877009787864e-01
2.466215122533363946e+00 2.989438315292994308e-01
2.519252006888919926e+00 3.114651381422059440e-01
2.572288891244475906e+00 3.176895448089602780e-01
2.625325775600032330e+00 3.299652613762519837e-01
2.678362659955588754e+00 3.542177622696340289e-01
2.731399544311144734e+00 3.578615864575638295e-01
2.784436428666700714e+00 3.671839294972730205e-01
2.837473313022257138e+00 3.905198419866738879e-01
2.890510197377813562e+00 4.285293776150972955e-01
2.943547081733369541e+00 4.890757026345545766e-01
2.996583966088925521e+00 5.180747726633101458e-01
3.049620850444481945e+00 6.015064457331544823e-01
3.102657734800038369e+00 6.801932479950536514e-01
3.155694619155594349e+00 8.697534606655805689e-01
3.208731503511150329e+00 1.316717555755978930e+00
3.261768387866706753e+00 2.579224305078990920e+00
3.314805272222263177e+00 5.732463354758188245e+00
3.367842156577819157e+00 2.578782789784956897e+00
3.420879040933375581e+00 1.422263690917460854e+00
3.473915925288931561e+00 1.010527097371350047e+00
3.526952809644487985e+00 1.086205011873575099e+00
3.579989694000044409e+00 1.062522568279245183e+00
3.633026578355600389e+00 1.507186984854640643e+00
3.686063462711156369e+00 3.142104571054194384e+00
3.739100347066712793e+00 2.891435166883433272e+00
3.792137231422269217e+00 1.198906284033729230e+00
3.845174115777825197e+00 8.562637915532108623e-01
3.898211000133381177e+00 7.973016551743191682e-01
3.951247884488937601e+00 7.259265680425954770e-01
4.004284768844494025e+00 7.128386301357533261e-01
4.057321653200050449e+00 6.455861936971094561e-01
4.110358537555605984e+00 6.470679364842070180e-01
4.163395421911162408e+00 6.600815019809794792e-01
4.216432306266718832e+00 6.613137857854569646e-01
4.269469190622274368e+00 6.466089974099928916e-01
4.322506074977830792e+00 6.514451387560461493e-01
4.375542959333387216e+00 6.453133062730225245e-01
4.428579843688943640e+00 6.679757869818223615e-01
4.481616728044500064e+00 6.752770682925766099e-01
4.534653612400055600e+00 7.651434998470160176e-01
4.587690496755612024e+00 8.603193384011500466e-01
4.640727381111168448e+00 1.865183703399681425e+00
4.693764265466723984e+00 2.442152122947734760e+00
4.746801149822280408e+00 1.150059497780573370e+00
4.799838034177836832e+00 8.928658433315461718e-01
4.852874918533393256e+00 9.206608218710223834e-01
4.905911802888949680e+00 9.943517069029114142e-01
4.958948687244505216e+00 1.132087122945527602e+00
5.011985571600061640e+00 1.096334179894375982e+00
5.065022455955618064e+00 7.744325474242094165e-01
5.118059340311174488e+00 7.500084750046563942e-01
5.171096224666730024e+00 6.984259995749889649e-01
5.224133109022286447e+00 7.263576903010844354e-01
5.277169993377842871e+00 7.101054799414899810e-01
5.330206877733399295e+00 6.842981058662641614e-01
5.383243762088955719e+00 6.710066181590744749e-01
5.436280646444511255e+00 6.892724631466404794e-01
5.489317530800067679e+00 6.717153933600288340e-01
5.542354415155624103e+00 6.916434641246902437e-01
5.595391299511179639e+00 7.152034600039772760e-01
5.648428183866736063e+00 7.308141074583921482e-01
5.701465068222292487e+00 7.251060958961155212e-01
5.754501952577848911e+00 7.448077415116709510e-01
5.807538836933405335e+00 8.119049521762731203e-01
5.860575721288960871e+00 8.438441549034625400e-01
5.913612605644517295e+00 1.004541169025299219e+00
5.966649490000073719e+00 1.270102214906932536e+00
6.019686374355629255e+00 1.165388666186847111e+00
6.072723258711185679e+00 8.736883078015958981e-01
6.125760143066742103e+00 8.497545086765995181e-01
6.178797027422298527e+00 8.656768502640819207e-01
6.231833911777854951e+00 8.608739793763198200e-01
6.284870796133410487e+00 8.701921199297092402e-01
6.337907680488966911e+00 9.151778800701145800e-01
6.390944564844523335e+00 9.617777563219614967e-01
6.443981449200078870e+00 9.898907981201832129e-01
6.497018333555635294e+00 1.029030390845040221e+00
6.550055217911191718e+00 1.191722501389277600e+00
6.603092102266748142e+00 1.321112124813627497e+00
6.656128986622304566e+00 1.508494042698695914e+00
6.709165870977860102e+00 1.246430279386157469e+00
6.762202755333416526e+00 1.237059508998779478e+00
6.815239639688972950e+00 1.360966763127512857e+00
6.868276524044529374e+00 1.284791489481911020e+00
6.921313408400084910e+00 1.127875569327615457e+00
6.974350292755641334e+00 1.108445269121830945e+00
7.027387177111197758e+00 1.075036873127233283e+00
7.080424061466754182e+00 1.041563862090663095e+00
7.133460945822310606e+00 1.008216004991422166e+00
7.186497830177866142e+00 1.016637715309103962e+00
7.239534714533422566e+00 1.058782800969424009e+00
7.292571598888978990e+00 1.056686200154968835e+00
7.345608483244534526e+00 1.165154742079992811e+00
7.398645367600090950e+00 1.365266018175647300e+00
7.451682251955647374e+00 1.263407319181953925e+00
7.504719136311203798e+00 1.049219068189891413e+00
7.557756020666760222e+00 1.019363314187641700e+00
7.610792905022315757e+00 9.790553609308487726e-01
7.663829789377872181e+00 9.248082681710799724e-01
7.716866673733428605e+00 9.211234347934877942e-01
7.769903558088984141e+00 9.220711703275863425e-01
7.822940442444540565e+00 9.060927156094946699e-01
7.875977326800096989e+00 8.873662911396085207e-01
7.929014211155653413e+00 8.919555086081631945e-01
7.982051095511209837e+00 8.898781573049256988e-01
