# q S(q)
2.042689751628266048e+00 1.230929041384860367e+00
2.093126535619087569e+00 9.006564585749343710e-01
2.143563319609908646e+00 6.186811471582157607e-01
2.194000103600730167e+00 5.693533768066535439e-01
2.244436887591551688e+00 4.887561908217665785e-01
2.294873671582372765e+00 4.236359051832367939e-01
2.345310455573194286e+00 4.398972452789212673e-01
2.395747239564015807e+00 3.879481265590095651e-01
2.446184023554836884e+00 3.801257035086785807e-01
2.496620807545658405e+00 3.807101593057188316e-01
2.547057591536479926e+00 3.930279402867170035e-01
2.597494375527301003e+00 3.671488341939387334e-01
2.647931159518122524e+00 3.801860581497027991e-01
2.698367943508944045e+00 3.930148316215101856e-01
2.748804727499765121e+00 3.865832084741893104e-01
2.799241511490586642e+00 3.959318567757710294e-01
2.849678295481408163e+00 4.345937927730170736e-01
2.900115079472229240e+00 4.730178121386333090e-01
2.950551863463051205e+00 5.529120353630666562e-01
3.000988647453872282e+00 5.640739173710379584e-01
3.051425431444693359e+00 6.865184916196392928e-01
3.101862215435515324e+00 7.245835424228382893e-01
3.152298999426336401e+00 1.071503919782742731e+00
3.202735783417157478e+00 1.407278691226246714e+00
3.253172567407979443e+00 5.531511609536690521e+00
3.303609351398800520e+00 8.476295623849003036e+00
3.354046135389621597e+00 3.607099809127678469e+00
3.404482919380443562e+00 1.546864205631838241e+00
3.454919703371264639e+00 1.155715527991925340e+00
3.505356487362085716e+00 9.227023107910901079e-01
3.555793271352907681e+00 8.843667172402543963e-01
3.606230055343728758e+00 8.496050420947216519e-01
3.656666839334550279e+00 1.028761245882326536e+00
3.707103623325371800e+00 1.166339900994755263e+00
3.757540407316192876e+00 2.410379909158068212e+00
3.807977191307014397e+00 5.709581076281120993e+00
3.858413975297835918e+00 3.842478114375433407e+00
3.908850759288656995e+00 1.184443705322393514e+00
3.959287543279478516e+00 8.465776926490461429e-01
4.009724327270300037e+00 7.828991729420808898e-01
4.060161111261122002e+00 6.548751000146683099e-01
4.110597895251942191e+00 6.091610520379475702e-01
4.161034679242764156e+00 5.780103828067104654e-01
4.211471463233586121e+00 5.964133123528524427e-01
4.261908247224406310e+00 5.693770696520193964e-01
4.312345031215228275e+00 5.792695949658259735e-01
4.362781815206050240e+00 6.021360422089766518e-01
4.413218599196870429e+00 6.004770282401697967e-01
4.463655383187692394e+00 5.864961400576705897e-01
4.514092167178514359e+00 5.918861769251763105e-01
4.564528951169334547e+00 6.326572062939090912e-01
4.614965735160156513e+00 6.548994240008649825e-01
4.665402519150978478e+00 7.022436001477021517e-01
4.715839303141798666e+00 7.743798440872189381e-01
4.766276087132620631e+00 8.605619743362978857e-01
4.816712871123442596e+00 9.086494337917927488e-01
4.867149655114262785e+00 1.083959208895485027e+00
4.917586439105084750e+00 1.280442740406817492e+00
4.968023223095906715e+00 2.079374429672775193e+00
5.018460007086726904e+00 4.580922677704227119e+00
5.068896791077548869e+00 4.855855585903564808e+00
5.119333575068370834e+00 2.198619551533878003e+00
5.169770359059191023e+00 1.295055390914340965e+00
5.220207143050012988e+00 1.142868688129507815e+00
5.270643927040834953e+00 1.016295387046978860e+00
5.321080711031655142e+00 9.731865697480704958e-01
5.371517495022477107e+00 9.153680669116270874e-01
5.421954279013299072e+00 8.913970895170768571e-01
5.472391063004119260e+00 9.041971083836780609e-01
5.522827846994941225e+00 9.393258746515732449e-01
5.573264630985763191e+00 9.571336404860925073e-01
5.623701414976583379e+00 1.097231841961171073e+00
5.674138198967405344e+00 1.874990081833384670e+00
5.724574982958227309e+00 2.525559300044035282e+00
5.775011766949048386e+00 1.464568353180853988e+00
5.825448550939869463e+00 1.041100044283695736e+00
5.875885334930691428e+00 9.428554716228082500e-01
5.926322118921512505e+00 8.667123266537125614e-01
5.976758902912333582e+00 8.365098483627014803e-01
6.027195686903155547e+00 8.186567827070674319e-01
6.077632470893976624e+00 8.261906403375911534e-01
6.128069254884797701e+00 8.294599147634007519e-01
6.178506038875619666e+00 8.060061523387276328e-01
6.228942822866440743e+00 8.536491233971312820e-01
6.279379606857261820e+00 8.708024835371995787e-01
6.329816390848083785e+00 8.869158267306502808e-01
6.380253174838904862e+00 9.204900240686449964e-01
6.430689958829725938e+00 9.732801940815252184e-01
6.481126742820547904e+00 1.053285884896170810e+00
6.531563526811368980e+00 1.280186560250629935e+00
6.582000310802190057e+00 1.821751294435052682e+00
6.632437094793012022e+00 1.698323484416049078e+00
6.682873878783833099e+00 1.282603610227074586e+00
6.733310662774654176e+00 1.254205446406964297e+00
6.783747446765476141e+00 1.326622367970978100e+00
6.834184230756297218e+00 1.910304507410681252e+00
6.884621014747118295e+00 2.151742689714453594e+00
6.935057798737940260e+00 1.526584918599986240e+00
6.985494582728761337e+00 1.108320450747444896e+00
7.035931366719582414e+00 1.021480948448802772e+00
7.086368150710404379e+00 9.759175973618714472e-01
7.136804934701225456e+00 9.492820857361102815e-01
7.187241718692046533e+00 9.347069614788333647e-01
7.237678502682868498e+00 9.056335135458990493e-01
7.288115286673690463e+00 8.921771395944023686e-01
7.338552070664510651e+00 8.956248417494314662e-01
7.388988854655332617e+00 8.876625808194276157e-01
7.439425638646154582e+00 9.035240931288960331e-01
7.489862422636974770e+00 9.374908581518806017e-01
7.540299206627796735e+00 9.754023813386021313e-01
7.590735990618618700e+00 1.169719983541644304e+00
7.641172774609438889e+00 1.282611025312311082e+00
7.691609558600260854e+00 1.070923097962194426e+00
7.742046342591082819e+00 9.522821873352770305e-01
7.792483126581903008e+00 9.337080280851763892e-01
7.842919910572724973e+00 9.380441811069628599e-01
7.893356694563546938e+00 9.387169060203596205e-01
7.943793478554367127e+00 9.622723393763238375e-01
7.994230262545189092e+00 9.850490413598916861e-01
