# q S(q)
2.042689759324599841e+00 7.685383712897193853e-02
2.093126543505453796e+00 6.797712980195801113e-02
2.143563327686307751e+00 7.319333899887880968e-02
2.194000111867162595e+00 7.796965500305882979e-02
2.244436896048016550e+00 5.864132276449739861e-02
2.294873680228871393e+00 1.151686546790625099e-01
2.345310464409725348e+00 1.487815149435698092e-01
2.395747248590579304e+00 4.103777550716990880e-02
2.446184032771434147e+00 6.242637328548912568e-02
2.496620816952288102e+00 1.686823874921183353e-01
2.547057601133142946e+00 2.338311341523709452e-01
2.597494385313996901e+00 1.591795459611701491e-01
2.647931169494850856e+00 3.190652731009354093e-01
2.698367953675705699e+00 1.388992335841805481e-01
2.748804737856559655e+00 2.251185915826589001e-01
2.799241522037414498e+00 7.686913370198849016e-01
2.849678306218268453e+00 1.109618954075608510e+00
2.900115090399122408e+00 1.623702350682607376e+00
2.950551874579977252e+00 9.200041659840248798e+00
3.000988658760831207e+00 1.009878402635137995e+01
3.051425442941686050e+00 2.380476986940765372e+00
3.101862227122540006e+00 4.801023288704819869e-01
3.152299011303393961e+00 6.341963713821147097e-01
3.202735795484248804e+00 6.143954804685135551e-01
3.253172579665102759e+00 2.851147842666465482e-01
3.303609363845957603e+00 2.963226476689501676e-01
3.354046148026811558e+00 2.296104718974925629e-01
3.404482932207665513e+00 2.255019606423072365e-01
3.454919716388520357e+00 2.075358004408309198e-01
3.505356500569374312e+00 2.427306272512151086e-01
3.555793284750229155e+00 1.346766806792802917e-01
3.606230068931083110e+00 1.112911044654692067e-01
3.656666853111937066e+00 1.625671126087767093e-01
3.707103637292791909e+00 1.059983436907740023e-01
3.757540421473645864e+00 8.783627891683844224e-02
3.807977205654500708e+00 5.175175033978419992e-02
3.858413989835354663e+00 7.672505684901631540e-02
3.908850774016208618e+00 5.170252040278854738e-02
3.959287558197063461e+00 8.085339066820125542e-02
4.009724342377917417e+00 6.315475726635591536e-02
4.060161126558771372e+00 9.197448815494430052e-02
4.110597910739626215e+00 8.442086120196888588e-02
4.161034694920481058e+00 1.414977172716819498e-01
4.211471479101334126e+00 8.341944119398633783e-02
4.261908263282188969e+00 9.178984487167937689e-02
4.312345047463043812e+00 1.777461136489639770e-01
4.362781831643897767e+00 3.557867774976464226e-01
4.413218615824751723e+00 3.932333152690600797e-01
4.463655400005606566e+00 1.695785779026697471e+00
4.514092184186460521e+00 4.015347717131021454e+00
4.564528968367314476e+00 2.744776020551069173e+00
4.614965752548169320e+00 8.102342966434283866e-01
4.665402536729024163e+00 5.286288876252147606e-01
4.715839320909877230e+00 4.618894670827255466e-01
4.766276105090732074e+00 1.953150388615755295e-01
4.816712889271586917e+00 1.994439700902461976e-01
4.867149673452440872e+00 2.878840580400716109e-01
4.917586457633294827e+00 2.882486215193462709e-01
4.968023241814149671e+00 5.574005624005760051e-01
5.018460025995003626e+00 7.897325807654661523e-01
5.068896810175857581e+00 6.491768304421505320e+00
5.119333594356712425e+00 7.767331451228816519e+00
5.169770378537567268e+00 8.827357224632892851e+00
5.220207162718420335e+00 1.596185471547303836e+00
5.270643946899275178e+00 5.859768175729550554e-01
5.321080731080130022e+00 5.382474884026167139e-01
5.371517515260983977e+00 3.045806680001520439e-01
5.421954299441837932e+00 3.039042017799238882e-01
5.472391083622692776e+00 3.049265438743851142e-01
5.522827867803546731e+00 3.102269722772275085e-01
5.573264651984400686e+00 2.776399852141339664e-01
5.623701436165255529e+00 3.922464612913961757e-01
5.674138220346110373e+00 8.067275164179251723e-01
5.724575004526963440e+00 6.114326982813144129e-01
5.775011788707818283e+00 5.898217436334756147e-01
5.825448572888673127e+00 1.266304019853085494e+00
5.875885357069527082e+00 5.955910819719419713e+00
5.926322141250381037e+00 1.021366014458060256e+01
5.976758925431235880e+00 5.849405972847947943e+00
6.027195709612089836e+00 2.055280055366190961e+00
6.077632493792943791e+00 1.535050701540670914e+00
6.128069277973798634e+00 2.993708577737696608e+00
6.178506062154653478e+00 3.088678686320350586e+00
6.228942846335506545e+00 1.470317261960630395e+00
6.279379630516361388e+00 5.010190064712496394e-01
6.329816414697216231e+00 3.457984381760770831e-01
6.380253198878070187e+00 3.637554219863542437e-01
6.430689983058924142e+00 2.737126756055603405e-01
6.481126767239778985e+00 2.401903739148674721e-01
6.531563551420632940e+00 2.655823927411574692e-01
6.582000335601486896e+00 1.483503924560781173e-01
6.632437119782341739e+00 1.248247038281131566e-01
6.682873903963196582e+00 1.595337569043834836e-01
6.733310688144049649e+00 1.646236859141718134e-01
6.783747472324904493e+00 2.009673100508494736e-01
6.834184256505759336e+00 3.046711493821295247e-01
6.884621040686613291e+00 2.488232319575811591e-01
6.935057824867467247e+00 2.838412899057704553e-01
6.985494609048322090e+00 1.830633803684694749e-01
7.035931393229176045e+00 1.549393052125392911e-01
7.086368177410030000e+00 1.826098179634779439e-01
7.136804961590884844e+00 3.297320589476533392e-01
7.187241745771739687e+00 3.109378115563430356e-01
7.237678529952592754e+00 3.321928638418744084e-01
7.288115314133447598e+00 3.669561169334344397e-01
7.338552098314302441e+00 4.248178931545091297e-01
7.388988882495156396e+00 5.543159633111044426e-01
7.439425666676010351e+00 1.303303390764622538e+00
7.489862450856865195e+00 1.428613289125626018e+00
7.540299235037719150e+00 6.570536779207386546e-01
7.590736019218573105e+00 5.550890223234022924e-01
7.641172803399427949e+00 8.105444735813503998e-01
7.691609587580282792e+00 6.014530867877712073e-01
7.742046371761135859e+00 1.148191696729213618e+00
7.792483155941990702e+00 2.528126569839186821e+00
7.842919940122845546e+00 4.026473478819374563e+00
7.893356724303699501e+00 1.918824418377589103e+00
7.943793508484553456e+00 7.457498508270390403e-01
7.994230292665408300e+00 9.448106427819932263e-01
