# x_center(A)  geometric_density(atoms/A3)  local_density(1/<V>)
0.15878421  0.04424447  0.04997223
0.47635262  0.07149255  0.05018012
0.79392103  0.08046566  0.05009043
1.11148945  0.08252443  0.04991221
1.42905786  0.05983279  0.04963371
1.74662628  0.04982627  0.05039466
2.06419469  0.07159225  0.05023210
2.38176310  0.07377043  0.04983991
2.69933152  0.06782135  0.04997255
3.01689993  0.04343486  0.05010284
3.33446834  0.05910860  0.05037594
3.65203676  0.06751195  0.05031092
3.96960517  0.06470907  0.05045393
4.28717359  0.04724367  0.05087421
4.60474200  0.05036986  0.05168096
4.92231041  0.05651086  0.05167478
5.23987883  0.06019211  0.05163818
5.55744724  0.05456080  0.05220177
5.87501566  0.04971385  0.05251782
6.19258407  0.05004246  0.05266962
6.51015248  0.05587589  0.05263167
6.82772090  0.05577510  0.05342952
7.14528931  0.05475581  0.05367521
7.46285772  0.05618039  0.05404671
7.78042614  0.05363229  0.05395795
8.09799455  0.05617161  0.05441425
8.41556297  0.05796240  0.05468750
8.73313138  0.05970382  0.05506534
9.05069979  0.05570499  0.05499457
9.36826821  0.05311244  0.05504355
9.68583662  0.05539768  0.05571821
10.00340503  0.05464004  0.05553153
10.32097345  0.05882365  0.05549603
10.63854186  0.06073973  0.05535044
10.95611028  0.05722255  0.05564620
11.27367869  0.05684171  0.05568061
11.59124710  0.05486511  0.05562503
11.90881552  0.05256429  0.05599355
12.22638393  0.05356025  0.05555773
12.54395234  0.05870384  0.05580075
12.86152076  0.05609145  0.05587472
13.17908917  0.06201081  0.05607665
13.49665759  0.05919159  0.05522408
13.81422600  0.05824726  0.05556047
14.13179441  0.05253521  0.05556682
14.44936283  0.05363064  0.05596640
14.76693124  0.05518220  0.05620070
15.08449965  0.05581427  0.05561625
15.40206807  0.05948945  0.05577157
15.71963648  0.05743198  0.05535568
16.03720490  0.05685627  0.05560982
16.35477331  0.05607150  0.05544210
16.67234172  0.05781040  0.05553867
16.98991014  0.05414236  0.05574629
17.30747855  0.05404900  0.05602262
17.62504697  0.05640763  0.05587404
17.94261538  0.05995800  0.05571864
18.26018379  0.05779952  0.05552608
18.57775221  0.05695037  0.05614301
18.89532062  0.05282121  0.05559698
19.21288903  0.05615911  0.05553714
19.53045745  0.05419475  0.05562354
19.84802586  0.05840204  0.05584278
20.16559428  0.05789456  0.05559121
20.48316269  0.05674289  0.05569939
20.80073110  0.05964247  0.05558803
21.11829952  0.05511389  0.05579827
21.43586793  0.05599562  0.05590206
21.75343634  0.05475702  0.05583140
22.07100476  0.05858854  0.05582582
22.38857317  0.05483904  0.05546023
22.70614159  0.05514750  0.05531815
23.02371000  0.05751883  0.05583569
23.34127841  0.05759915  0.05583320
23.65884683  0.05640556  0.05590086
23.97641524  0.06025953  0.05591191
24.29398365  0.05564613  0.05587192
24.61155207  0.05835556  0.05590574
24.92912048  0.05420417  0.05604628
25.24668890  0.05419373  0.05577398
25.56425731  0.05361609  0.05547418
25.88182572  0.05767974  0.05572490
26.19939414  0.06017793  0.05547885
26.51696255  0.05665609  0.05535030
26.83453097  0.05933097  0.05553860
27.15209938  0.05356665  0.05571685
27.46966779  0.05603559  0.05526564
27.78723621  0.05592691  0.05515261
28.10480462  0.05648747  0.05562841
28.42237303  0.05403360  0.05554805
28.73994145  0.05428530  0.05521302
29.05750986  0.05686748  0.05514462
29.37507828  0.05604431  0.05543310
29.69264669  0.05465735  0.05600947
30.01021510  0.05553978  0.05538648
30.32778352  0.05800731  0.05556553
30.64535193  0.05764909  0.05544355
30.96292034  0.05723812  0.05564909
31.28048876  0.05947150  0.05589387
31.59805717  0.05414265  0.05563807
31.91562559  0.05430709  0.05587993
32.23319400  0.05576660  0.05548003
32.55076241  0.05715723  0.05593584
32.86833083  0.05973193  0.05536314
33.18589924  0.05497684  0.05576936
33.50346765  0.05510475  0.05561892
33.82103607  0.05671586  0.05576251
34.13860448  0.05487014  0.05562495
34.45617290  0.05771841  0.05534141
34.77374131  0.05781141  0.05581042
35.09130972  0.05850554  0.05610363
35.40887814  0.05923348  0.05589708
35.72644655  0.05593505  0.05538893
36.04401496  0.05656752  0.05556403
36.36158338  0.05663961  0.05567823
36.67915179  0.05193435  0.05581973
36.99672021  0.05583189  0.05604737
37.31428862  0.06035319  0.05599658
37.63185703  0.05794934  0.05562551
37.94942545  0.05447860  0.05582601
38.26699386  0.05673568  0.05592674
38.58456228  0.05889498  0.05550547
38.90213069  0.05155859  0.05566076
39.21969910  0.06043374  0.05562848
39.53726752  0.06026113  0.05551972
39.85483593  0.05362511  0.05601138
40.17240434  0.05410152  0.05588798
40.48997276  0.05899437  0.05586555
40.80754117  0.05872796  0.05585901
41.12510959  0.05559978  0.05603444
41.44267800  0.05799540  0.05564914
41.76024641  0.05549658  0.05564717
42.07781483  0.05326741  0.05572336
42.39538324  0.05490609  0.05531869
42.71295165  0.05936291  0.05542299
43.03052007  0.06012136  0.05605883
43.34808848  0.05419195  0.05573037
43.66565690  0.05745037  0.05525437
43.98322531  0.05614793  0.05545183
44.30079372  0.05573467  0.05572337
44.61836214  0.05409107  0.05581821
44.93593055  0.05904681  0.05559502
45.25349896  0.05760497  0.05573865
45.57106738  0.05617533  0.05573382
45.88863579  0.05330227  0.05559714
46.20620421  0.05688312  0.05570656
46.52377262  0.05767238  0.05524968
46.84134103  0.05659732  0.05575027
47.15890945  0.05846511  0.05545659
47.47647786  0.05866163  0.05595197
47.79404627  0.05352972  0.05607730
48.11161469  0.05576883  0.05588324
48.42918310  0.05769159  0.05549339
48.74675152  0.05683205  0.05600516
49.06431993  0.05587737  0.05593484
49.38188834  0.05514098  0.05572590
49.69945676  0.06048486  0.05601288
50.01702517  0.05410851  0.05603249
50.33459359  0.05639230  0.05564408
50.65216200  0.05870825  0.05589108
50.96973041  0.05646291  0.05604342
51.28729883  0.05755729  0.05570390
51.60486724  0.05454002  0.05553161
51.92243565  0.05673461  0.05587226
52.24000407  0.05664903  0.05576067
52.55757248  0.05707539  0.05601064
52.87514090  0.05797510  0.05582504
53.19270931  0.05543126  0.05569024
53.51027772  0.05598450  0.05546034
53.82784614  0.05544621  0.05574998
54.14541455  0.05804007  0.05616519
54.46298296  0.05765756  0.05554538
54.78055138  0.05793415  0.05589453
55.09811979  0.05698140  0.05598979
55.41568821  0.05621762  0.05587036
55.73325662  0.05504662  0.05561093
56.05082503  0.05660226  0.05570172
56.36839345  0.05676482  0.05600130
56.68596186  0.05925694  0.05588957
57.00353027  0.05520488  0.05587944
57.32109869  0.05607244  0.05619119
57.63866710  0.05797346  0.05568570
57.95623552  0.05542239  0.05600887
58.27380393  0.05744026  0.05561823
58.59137234  0.05576294  0.05586593
58.90894076  0.05660410  0.05635176
59.22650917  0.05703160  0.05566543
59.54407759  0.05666889  0.05572200
59.86164600  0.05589200  0.05586218
60.17921441  0.05882781  0.05550055
60.49678283  0.05713112  0.05562162
60.81435124  0.05699096  0.05562975
61.13191965  0.05352600  0.05570514
61.44948807  0.05208346  0.05546933
61.76705648  0.05916353  0.05510052
62.08462490  0.05682259  0.05572099
62.40219331  0.05557845  0.05518100
62.71976172  0.05720353  0.05563631
63.03733014  0.05866270  0.05558240
63.35489855  0.05598257  0.05536324
63.67246696  0.05335789  0.05573381
63.99003538  0.05668019  0.05581395
64.30760379  0.05848442  0.05562327
64.62517221  0.05679126  0.05594486
64.94274062  0.05466719  0.05598305
65.26030903  0.05726119  0.05544262
65.57787745  0.05874380  0.05544421
65.89544586  0.05759933  0.05553496
66.21301427  0.05325253  0.05552793
66.53058269  0.05898475  0.05541739
66.84815110  0.05660180  0.05629656
67.16571952  0.05425963  0.05588918
67.48328793  0.06014986  0.05600408
67.80085634  0.05937271  0.05553837
68.11842476  0.05659751  0.05536948
68.43599317  0.05132518  0.05547936
68.75356158  0.05258401  0.05593351
69.07113000  0.05412359  0.05558214
69.38869841  0.06025515  0.05565680
69.70626683  0.06090948  0.05550858
70.02383524  0.05912005  0.05515091
70.34140365  0.05524548  0.05526848
70.65897207  0.05379376  0.05581788
70.97654048  0.05393260  0.05499671
71.29410890  0.05586539  0.05561308
71.61167731  0.05883789  0.05524411
71.92924572  0.05523533  0.05552304
72.24681414  0.05605718  0.05489045
72.56438255  0.05471496  0.05501901
72.88195096  0.05700641  0.05454555
73.19951938  0.05851501  0.05514927
73.51708779  0.05594074  0.05440472
73.83465621  0.05794910  0.05381180
74.15222462  0.05359690  0.05418825
74.46979303  0.05210356  0.05360782
74.78736145  0.05554512  0.05300477
75.10492986  0.05529476  0.05266343
75.42249827  0.05204786  0.05218209
75.74006669  0.04771291  0.05292226
76.05763510  0.05187543  0.05195387
76.37520352  0.06255039  0.05128248
76.69277193  0.06213712  0.05159558
77.01034034  0.03851973  0.05188969
77.32790876  0.04200158  0.05091319
77.64547717  0.06878693  0.05045399
77.96304558  0.06983121  0.05060955
78.28061400  0.05225838  0.05079709
78.59818241  0.02688737  0.05122990
78.91575083  0.06664044  0.04994500
79.23331924  0.08155424  0.05018597
79.55088765  0.06902779  0.05016154
79.86845607  0.03411066  0.04998874
80.18602448  0.04734110  0.04971973
80.50359290  0.08820243  0.04999273
80.82116131  0.08864292  0.05034240
81.13872972  0.04805727  0.05032866
81.45629814  0.02554430  0.04994076
81.77386655  0.08322540  0.04973449
82.09143496  0.09558540  0.05015329
82.40900338  0.06835816  0.04990317
82.72657179  0.02663232  0.05010078
83.04414021  0.06645269  0.04967940
83.36170862  0.09777984  0.05008842
83.67927703  0.08371022  0.05015890
83.99684545  0.04550885  0.04987904
84.31441386  0.04665211  0.04953528
84.63198227  0.09289800  0.05007908
84.94955069  0.10058985  0.05003813
85.26711910  0.07062331  0.05016614
85.58468752  0.02471528  0.05001547
85.90225593  0.08527561  0.04982911
86.21982434  0.09997234  0.05007747
86.53739276  0.07870597  0.05006166
86.85496117  0.04209309  0.04995080
87.17252958  0.06097181  0.04976441
87.49009800  0.10452587  0.04999600
87.80766641  0.09293368  0.04990473
88.12523483  0.06901347  0.05000308
88.44280324  0.03898990  0.04987231
88.76037165  0.09886174  0.05004382
89.07794007  0.09736963  0.05007694
89.39550848  0.07682520  0.04978344
89.71307689  0.03565277  0.04982454
90.03064531  0.07869230  0.04988275
90.34821372  0.10291195  0.05010120
90.66578214  0.08520976  0.05000152
90.98335055  0.06047079  0.04967615
91.30091896  0.05112933  0.05003673
91.61848738  0.10541181  0.04991653
91.93605579  0.09087454  0.05014947
92.25362421  0.07128496  0.04972889
92.57119262  0.03557239  0.04995120
92.88876103  0.09367157  0.05011501
93.20632945  0.09849166  0.04997965
93.52389786  0.08246852  0.04994435
93.84146627  0.03886332  0.04907222
94.15903469  0.06753976  0.05017286
94.47660310  0.10395137  0.05002624
94.79417152  0.08396703  0.04988490
95.11173993  0.06579084  0.04946236
95.42930834  0.04187380  0.04997619
95.74687676  0.09892101  0.04990195
