Relative_x,Smoothed_lq6,Std_lq6
-2.000000000000000000e+01,2.246667302325676685e-01,1.265428902450077275e-01
-1.989999999999999858e+01,2.246196835686810611e-01,1.244067440243813161e-01
-1.979999999999999716e+01,2.245734172472340917e-01,1.256480197089192563e-01
-1.969999999999999574e+01,2.245286423081252758e-01,1.243030190209640506e-01
-1.959999999999999432e+01,2.244860884522213718e-01,1.253891730199669374e-01
-1.949999999999999289e+01,2.244464940278926568e-01,1.255506341813540927e-01
-1.939999999999999147e+01,2.244105926541620777e-01,1.257812048569339480e-01
-1.929999999999999005e+01,2.243790949402311163e-01,1.261527447091410625e-01
-1.919999999999998863e+01,2.243526645183478163e-01,1.259627809430448886e-01
-1.909999999999998721e+01,2.243318886509887977e-01,1.249002597447742419e-01
-1.899999999999998579e+01,2.243172448537760488e-01,1.257202269925494775e-01
-1.889999999999998437e+01,2.243090661097418004e-01,1.261605898018565708e-01
-1.879999999999998295e+01,2.243075081498531187e-01,1.253698240933213137e-01
-1.869999999999998153e+01,2.243125227743415773e-01,1.271216604224493785e-01
-1.859999999999998010e+01,2.243238411765320628e-01,1.257232346404038026e-01
-1.849999999999997868e+01,2.243409706654020119e-01,1.259735447807044384e-01
-1.839999999999997726e+01,2.243632071065318756e-01,1.245545877765777687e-01
-1.829999999999997584e+01,2.243896639308716467e-01,1.265754308132925054e-01
-1.819999999999997442e+01,2.244193168714034015e-01,1.235589895040317965e-01
-1.809999999999997300e+01,2.244510618830445892e-01,1.251118435690152519e-01
-1.799999999999997158e+01,2.244837821828351565e-01,1.234513160227314332e-01
-1.789999999999997016e+01,2.245164191884991278e-01,1.253802944197064395e-01
-1.779999999999996874e+01,2.245480414588433560e-01,1.251222797949359256e-01
-1.769999999999996732e+01,2.245779056178505428e-01,1.235805763992045558e-01
-1.759999999999996589e+01,2.246055036882629585e-01,1.257861520635666919e-01
-1.749999999999996447e+01,2.246305922334241312e-01,1.234956490885603803e-01
-1.739999999999996305e+01,2.246532001307767201e-01,1.252028140055093108e-01
-1.729999999999996163e+01,2.246736135670951706e-01,1.265876904414452442e-01
-1.719999999999996021e+01,2.246923388186142234e-01,1.243429494769595772e-01
-1.709999999999995879e+01,2.247100454020487803e-01,1.236567593342333959e-01
-1.699999999999995737e+01,2.247274940833821899e-01,1.263228329485653056e-01
-1.689999999999995595e+01,2.247454558321947127e-01,1.269990558915546353e-01
-1.679999999999995453e+01,2.247646289386264762e-01,1.250546052841762235e-01
-1.669999999999995310e+01,2.247855620205602145e-01,1.246513492247883909e-01
-1.659999999999995168e+01,2.248085904368310739e-01,1.261347180296990556e-01
-1.649999999999995026e+01,2.248337926483587046e-01,1.247250829617163465e-01
-1.639999999999994884e+01,2.248609713714659064e-01,1.256107040670452757e-01
-1.629999999999994742e+01,2.248896620696012039e-01,1.261536021040075006e-01
-1.619999999999994600e+01,2.249191686349800434e-01,1.245001479389077209e-01
-1.609999999999994458e+01,2.249486232889095771e-01,1.258166641980438816e-01
-1.599999999999994316e+01,2.249770650851235509e-01,1.255835538115906702e-01
-1.589999999999994174e+01,2.250035292446277424e-01,1.257899690565824624e-01
-1.579999999999994031e+01,2.250271381593246800e-01,1.243941910871598638e-01
-1.569999999999993889e+01,2.250471844800472354e-01,1.250825804395294394e-01
-1.559999999999993747e+01,2.250631973550880904e-01,1.269000209057523643e-01
-1.549999999999993605e+01,2.250749845872043742e-01,1.256323031064158213e-01
-1.539999999999993463e+01,2.250826460781597538e-01,1.252339828367908248e-01
-1.529999999999993321e+01,2.250865571550359212e-01,1.267375604644849219e-01
-1.519999999999993179e+01,2.250873238487059447e-01,1.256590951647294785e-01
-1.509999999999993037e+01,2.250857154925506032e-01,1.259135111659556161e-01
-1.499999999999992895e+01,2.250825826974009736e-01,1.256613236044515358e-01
-1.489999999999992752e+01,2.250787704654433619e-01,1.263618307030494048e-01
-1.479999999999992610e+01,2.250750366795229995e-01,1.243459710857145184e-01
-1.469999999999992468e+01,2.250719853596827580e-01,1.269966217455074375e-01
-1.459999999999992326e+01,2.250700220208795843e-01,1.245624843639591278e-01
-1.449999999999992184e+01,2.250693354826665271e-01,1.256699915678025081e-01
-1.439999999999992042e+01,2.250699070037789906e-01,1.248662337848701620e-01
-1.429999999999991900e+01,2.250715441468019162e-01,1.247299877936568907e-01
-1.419999999999991758e+01,2.250739338149915225e-01,1.249261906194085031e-01
-1.409999999999991616e+01,2.250767068455681030e-01,1.251158507260540786e-01
-1.399999999999991473e+01,2.250795056319405130e-01,1.266635814467664822e-01
-1.389999999999991331e+01,2.250820465269123549e-01,1.251259884579828119e-01
-1.379999999999991189e+01,2.250841701033061415e-01,1.255019186464942371e-01
-1.369999999999991047e+01,2.250858744176101045e-01,1.267578066527103309e-01
-1.359999999999990905e+01,2.250873288482741763e-01,1.267249667122179735e-01
-1.349999999999990763e+01,2.250888684653425120e-01,1.246236836823390037e-01
-1.339999999999990621e+01,2.250909708978348911e-01,1.241748188197260988e-01
-1.329999999999990479e+01,2.250942190832085632e-01,1.249903900145042240e-01
-1.319999999999990337e+01,2.250992540368652040e-01,1.236577853438393937e-01
-1.309999999999990195e+01,2.251067219333384162e-01,1.260574764418186944e-01
-1.299999999999990052e+01,2.251172195113945451e-01,1.259242559103194159e-01
-1.289999999999989910e+01,2.251312413179150929e-01,1.249874025622453588e-01
-1.279999999999989768e+01,2.251491317952624971e-01,1.247602084092422764e-01
-1.269999999999989626e+01,2.251710448372507556e-01,1.254251372234351791e-01
-1.259999999999989484e+01,2.251969132397191320e-01,1.247705337226601152e-01
-1.249999999999989342e+01,2.252264304013543994e-01,1.260310974172322296e-01
-1.239999999999989200e+01,2.252590465534978492e-01,1.247400157311397972e-01
